,name,course_interest,date,financial_support_self,geo_flex,result,self_development
0,Stillmann Castano,Business,22/08/2019,Yes,Yes,Pass,Yes
1,Hilary Willmore,Data,01/08/2019,Yes,Yes,Fail,No
2,Efrem Whipple,Business,22/08/2019,Yes,Yes,Pass,Yes
3,Sydel Fenne,Data,28/08/2019,Yes,Yes,Pass,Yes
4,Michel Lebarree,Engineering,07/08/2019,Yes,Yes,Pass,Yes
5,Cooper Ingraham,Business,14/08/2019,No,Yes,Fail,Yes
6,Bird Le Count,Business,22/08/2019,Yes,Yes,Fail,Yes
7,Orly Lorens,Business,01/08/2019,Yes,Yes,Fail,No
8,Hannah Messum,Data,29/08/2019,Yes,Yes,Fail,Yes
9,Gavin Lambregts,Data,21/08/2019,Yes,Yes,Pass,Yes
10,Letta Halston,Business,08/08/2019,Yes,Yes,Fail,Yes
11,Rivalee Eagleton,Engineering,08/08/2019,No,Yes,Fail,Yes
12,Neda Marmyon,Data,15/08/2019,Yes,Yes,Pass,Yes
13,Kermy Caves,Business,29/08/2019,Yes,No,Fail,Yes
14,Edithe Dimitrov,Engineering,07/08/2019,Yes,Yes,Pass,Yes
15,Aubert Cicerone,Data,06/08/2019,No,Yes,Fail,Yes
16,Erastus Mcelrath,Data,14/08/2019,No,No,Fail,Yes
17,Edgar Annesley,Data,28/08/2019,Yes,Yes,Fail,No
18,Haslett Steet,Engineering,07/08/2019,Yes,Yes,Pass,Yes
19,Kirbee Clementet,Engineering,08/08/2019,No,Yes,Fail,Yes
20,Marcellina Ping,Business,21/08/2019,Yes,Yes,Pass,Yes
21,Violet Luscombe,Data,14/08/2019,Yes,Yes,Pass,Yes
22,Phillis Wabey,Data,06/08/2019,Yes,Yes,Pass,Yes
23,Maurice Yakhin,Engineering,29/08/2019,Yes,Yes,Pass,Yes
24,Wesley Tolerton,Business,13/08/2019,Yes,Yes,Fail,No
25,Brittaney Roughey,Engineering,15/08/2019,Yes,Yes,Pass,Yes
26,Saree Daens,Engineering,15/08/2019,Yes,Yes,Pass,Yes
27,Mona Willimott,Engineering,08/08/2019,Yes,Yes,Pass,Yes
28,Alvie Bleackly,Engineering,01/08/2019,Yes,Yes,Pass,Yes
29,Drud Tellenbrok,Data,06/08/2019,Yes,Yes,Pass,Yes
